N	L	Type	TGTM	Env	ris	sahu	tag	tuk	mar	syang	gha	pra	nar	phu	tangbe-checked	tang	examples
38	1	R,V	wa	/tʰ_	o	?	o	o	o	o	u	a	oː	ɔː			salive' TGTM *ᴮthwa > nar ⁵⁴thoː, phu ⁴⁴thɔː
39	1	R,V	wa	/s_	wa	a	a,wa	ə	ʌ	o	a	ɤ	ɔ	ɔ	ə	ə=ʌ	dent', TGTM *Aswa > phu ³²sɔ , nar ⁵⁴sɔ , Tangbe ⁴³sə
40	1	R	waː		waː	aː	?	o	?	?	o	?				o	
41	1	R	waː	/s,tsʰ_	waː	waː,aː	?	o	a	?	o	?					
42	1	R	ai		ai	ai,eː=jeː	ai	ʌi=ʌj,e	əi,e,əe	ʌi,ai,ɛ	ae,we,ai,wi	eː	ɛi				fer' TGTM *Bphai > nar ⁵³phɛi 
43	1	R	ai	/r,t_	ai	ai,eː	ai	e	e	ɛ	e	eː	e,ɛ,eː			e	côte (os)' TGTM *Bʰrai > nar ⁵⁵rɛ ³·ʃiŋ / ⁵⁵re ³·ʃiŋ , Tgb ⁴⁴re ;'cuire à l'eau' TGTM *Bdai (Tag)> nar ²¹'²²deːbɛ , Tgb ᴸteʱ
44	1	R	ai	/tʰ_	ai	eː	eː	e	eʌ,eː	?	eː	?				?	
45	1	R	jai		jai	?	?	?	?	?	e	jeː					
46	1	R	au		au	?	?	ap	?	?	?	?					
47	1	R	ak		aː,ak	aː,ak	?	a	a	a	?	?				ak	broom'
48	1	R	at		at	et,e,ep	eː,e	e	e,je,ʌi	e,ʌi	e,ae,aː	e,je,eː	e,eː	e	eʔ	eʔ,eː	plein à ras' TGTM *ᴮʰnat > nar ⁵³ne  ;'huit' TGTM *ᴮbrat > nar ¹¹²prɛːʱ , phu ¹¹pre , Tangbe ¹¹prɛʔ ;'pou' TGTM *ᴮsjat > nar ⁵⁵⁴ʃje ;'travail' TGTM *ᴮgjat > nar ¹¹²gje , phu ¹¹¹gjẽː , Tangbe ³³³kjeʔ 
49	1	R	at	/k_	at	et	eː	əi=əj	ʌe	ʌe	ae	je	e,eː,ᵊe	e		je,e,eʔ	voix' TGTM *Bkat (sauf Gha *Akat) > nar ⁵⁴keː / ⁵⁴kᵊe , phu ⁴³ke , Tgb ⁴⁴kjeʔ
50	1	R	wat		wat	wet	wai	oj,e	?	?	we	?		ɛ		?	petit aigle' phu ¹¹krɛ < TGTM *Bgrwat (comp tib. khra)
51	1	R	ap		ap	ap	ap	əp,əw,a	o	o	aː	e,je	ou,ɔu	oː=ɑː,ɑu	əp	əp=ʌp	(pâte à )bière' TGTM *Abap > nar ¹²pɔu / ³²pɔu, Phu ¹¹poʱː ⁵⁴kheː ; 'bière' Phu ¹¹poʱː / ³¹poː , Tangbe ¹⁰bɔʱp ;'aiguille' TGTM *Bdap > nar ¹¹²dou , phu ¹¹tọːʱ , Tangbe ²¹təp ⁴⁴gaŋ 'porte-aiguille'  ;'pincettes' TGTM *Bgap > nar ¹¹²gou , phu ¹¹'¹²²gɑu ;'couvercle' TGTM *Agap > nar ²¹gou , phu ¹¹˰gɑː ;'boeuf' TGTM *Bglap > nar ²³²glou, phu ¹¹gloː  ;'porte' TGTM *Bʰmrap > nar ⁵⁴mrou phu ³²mroː Tangbe ⁴³nəp ;'légume feuillu' TGTM *ᴬɖap > nar ¹¹ʈou / ²¹ʈou ;'morve' TGTM *Bʰnap (sauf Sahu *A) > nar ⁵⁴nou (phu ⁴⁴na)Tangbe ⁴³nəp
52	1	R	jap		jap	jap	?	ep,e,jəp	?	jo	jaː	?	jɔu	joː		jəp	‘ring’ TGTM *Btsjap > nar⁴⁴'³tsjɔu , Phu ⁴⁴tʃjoː , Tgb ⁴⁴tsjəp
53	1	R	aŋ		aŋ	aŋ	aŋ	aŋ	aŋ	aŋ	õ,ũ	aŋ	aŋ	aŋ,ãː		aŋ	-ful' Phu -⁴⁴naŋ,  ;'noir' phu ⁵⁴mlaŋ ,  ;'bru' TGTM *Atsaŋ > nar ⁵⁴tsaŋ , phu ⁴⁴³tsãː  ;'os long' TGTM *Akaŋ > nar ⁵⁴kaŋ , phu ⁴³kaŋ  ;'mortier' TGTM *Alaŋ (TTM) > nar ²¹laʱŋ , phu ¹⁰laʱŋ
54	1	R	aŋ	/tʰ_	aŋ	aŋ	aŋ	aŋ	aŋ	aŋ	ãː	aŋ	aŋ	aŋ			odeur' TGTM *Athaŋ > nar ⁵⁵thaŋ , phu ⁴³thaŋ
254	1	R	jaŋ		jaŋ,eŋ	jaŋ,eŋ	jaŋ,eŋ	jaŋ	jaŋ	jaŋ	jõ	jaŋ	jaŋ	jaŋ		jaŋ	
55	1	R	an		an	en	an	ən	ʌn	ʌn	aẽ	jɛ̃=jẽ,ẽ	an	ɛn		en	riz', *Akan > nar ²²kan /⁴³kan, Phu ⁵⁴kɛ̆n (comp Man ³²kjẽ) ;'remède' TGTM *Aʰman > nar ⁵⁴man , phu ⁵³mɛn / mən
56	1	R	an	/j,tʰ_	an	en	an	en	an	ɛn	ẽ	e,ẽ	ɛn	ɛn			panthère' TGTM *Atsjan > nar ⁴⁴paŋ ⁴⁴tsjɛn , Phu ³¹tʃjɛn
57	1	R	jan		jan	en	jan	jen	?	jɛn	ẽ	e,jeː	jɛn	jɛn			panthère' TGTM *Atsjan > nar ⁴⁴paŋ ⁴⁴tsjɛn , Phu ³¹tʃjɛn
58	1	R	wan		wan	wen,jen	wan	on	on	on	wẽ	wɛ̃=wẽ	on	on		ɔ,ɔn	vêtement' TGTM *Akwan > nar ⁵⁴kon , Phu ⁵⁴kon 
59	1	R	am		am	am	am	om,əm	ʌm	ʌm	ãẽ,ã,ãː	ən,ẽ,e	am	am			épi' TGTM *Aʰnam > phu ⁵⁵nam  ;'parole' TGTM *Atam > nar ⁵³tam
60	1	R	ar		ar	ar	ar	ər,ar	ʌr	ʌr	a,aː,aːra	ɤr	ar,ər	ar		ar,ʌr	blanc' TGTM *Atar > nar ⁵⁴tar phu ⁵⁵tar  ;'aval' TGTM *Aʰmar > nar ⁵⁵mər Phu ⁵⁴mar ;'or' TGTM *Bmar > nar ²¹²mar , phu ²²mar  ;'étoile' TGTM *Bsar > nar ⁴³'⁵⁴sara , phu ³²sar 
61	1	R	jar		jar	jar	er,jar	jar	ʌr	?	jaː	je,jɤr					
261	1	R	al	/+	ai,al							eː,e	ɛi	al		al	rein' Man (MM) ⁵⁶khxeː , nar ³²khęi , Phu ⁴³'³³khalma , Tgb khaltɔ ;'laine' TGTM *Abal > Man (MM) ²²pe , nar ⁴³pɛi  ;'crapaud' Phu ²²'³²paːlbə ;nb: maybe in Ris *l > i /-r, mais elsewhere *l > l
62	1	R	wal		al,wal	al	wal,wai	o	ol	?	ad,ol	wol					
63	1	R	wai		wai	wai	wai	oj	we	?	we,wi	we	we,ɔe,øe	øi		oe,je	chant' TGTM *Bgwai > nar ¹²gweʱ , phu ¹¹gøi , Tgb ¹¹koeʱ ~kjeʱ
64	1	R	jal		jal	jal	jal	jal,jəl	il,iː,jal	?	jaːla,e	?					
65	1	R,V	o		o	o	o	o	o	o,u	o	o,wo	ɔ,o	ɔ	o	o	daim' TGTM *Apho > nar ⁵³phoː , phu ⁴³phɔ ;'lac' TGTM *Atsho > nar ⁴³tshɔ̆ , phu ⁵⁴tshɔ̆ , Tangbe ⁴⁴³tsho
66	1	R	oː		oː	oː	oː	o	o,u	o	u	o	ɔː,oː	ɔː	oʔ	oʔ	variole' TGTM *Bbroː > nar ¹¹prɔʱː , phu ¹¹brɔː , Tangbe ³³proʔ ;'corde' TGTM *Atshoː > nar ⁴³tshoː , (phu ⁵⁴'⁴thakpᵊ) , Tangbe ⁴³tshoʔ
67	1	R	oi		oi	oi,e	oe	oi=oj	oi	we	we=oe	wɛː=we					
68	1	R	joi		joi	joi	joe	e	ʌe	e	jwi	eː	juː			jɔ	croc' TGTM (¹sjoi / ²tshjoi) > nar ⁵⁴³tʃhjuː , Tgb tshjɔ
69	1	R	ok		oː,o	ok	?	?	?	?	?	?				ok	salive' TGTM *Bthok > ris ²tho , Tgb thok
70	1	R	ot		ot	ot,oi,op	oi=oe,oː	oi=oj	?	oi	wi	e,we,i					
71	1	R	ot	/t,d,tʰ_	ot	ot,oi,op	oi=oj	e	e	ʌi,e	i	e	ɔe,øe,we	øː	e	e	charge' TGTM *Bdot > nar ²¹²dɔe / ²¹²døe , Tgb ²²te ;(?) 'couleur' TGTM *Atshon/Btshot > nar ⁴⁴tshøe , phu ⁴⁴³tshøː
72	1	R	jot		jot	jot,joi,jop	?	je	?	?	jwi	i				e	
73	1	R	jot	/s_	jot	jot,jop	joː,joe	je	?	?	jwi	?				e	
74	1	R	wap		op	?	?	əw	ʌp	op	o	oː				əu	poumon' TGTM *Bglop/*Bglwap > nar ¹¹'¹⁰globɛ/¹¹¹'¹¹glɔ̆bɛ (comp phu ²¹lŏʱ) , Tgb kʱjəu
75	1	R	op		op	op	op	əp	o	?	o	?				əu	
76	1	R	oŋ		oŋ	oŋ	oŋ	oŋ,uŋ	oŋ,oː,uŋ	uŋ	õ	oŋ,o,oː	ɔŋ	ɔ̃		oŋ	vallée' TGTM *Asjoŋ > nar ⁴³ʃjɔŋ phu ⁴³⁴ʃjɔ̃ː
77	1	R	on		on	?	on	on	ʌn	on	aẽ,wẽ	wẽ,ẽ					
78	1	R	on	/tsʰ_	on	on,om	?	oi=oj	ʌe	ɛ	?	e					
79	1	R	jon		jon	jon	jon	en	jen	jan,jon	rẽ,jwẽ	jẽ,je		jon=jøn		en	frère cadet' phu ⁴⁴'¹tʃjøntsə cf Ris cjon; 'jeune homme' TGTM *bjon> Tgb ¹¹peɦn
80	1	R	om		om	om	om	om	?	?	õ	ẽ	om	om		om	trois' TGTM *Bsom > nar ⁵⁴som / ⁵⁵ /⁴⁴ , phu ⁴²sọm
81	1	R	or		or	or	or	or	or	o	u,a,ur	or	or	or		or	en amont' TGTM *Ator > nar ⁵⁵tor
281	1	R	ol		ol								ol			ol	nourriture (honor.)' TGTM *A/Bsol > nar ⁴³sol ; 'gorge' Tgb oldoŋa
82	1	R,V	u		u	u	u	u	u	u	u	u	u	ᴜ		u	graine' TGTM *Bblu > nar ²¹blu , Phu ²¹blᴜ̆
83	1	R	uː		uː	uː	uː	u	u	u,uː	u	u	uː	u		u	neuf, 9' TGTM *Bkuː > nar ⁵⁴kuː / ⁵⁴kŭ , Phu ⁵⁵ku  ;'six' TGTM *Bɖuː > nar ²¹²ɖuː , Phu ²¹ɖu
84	1	R,V	ju		ju	?	?	?	?	?	ju	?	ju	ju			ligament'.TGTM *Btshju > nar ⁵⁴tʃhjŭ phu ⁴³tʃhju 
85	1	R	juː		juː	juː	juː	?	?	?	i	?	juː	juː		i,ju,juː	mouton' TGTM *Bgjuː > nar ¹¹kjuʱː , phu ¹¹gjuː , Tgb ²²kju(ː) ;  'soif' ris ¹phjuː , Tgb phi-n
86	1	R	uk		uː	uk	?	?	?	?	?	?	u	u	uk	uk	sueur' TGTM *Bʈ.Hr.ʈʰuː > nar ⁵⁵hru , Phu ³³hʃu, Tangbe hruk
87	1	R	ut		ut	ut,up	ui	?	?	wi	ui=wi	u					
88	1	R	ut	/j_	ut	ut,up	u	u	uː	?	?	iː					
89	1	R	ut	/r,ʈ,ɖ_	ut	ut,up	ui=uj	i	i,it	i	i,wi	iː			i	i	tirer' TGTM *Aɖut > Tgb ²²'²²ɖiʱwa
90	1	R	ut	/t,d,tʰ_	ut	ut,up	ui	ui=uj	wi	?	i	iː	yiː	y,yi		i	pelote' TGTM *Bthut 'rabouter' > nar ⁵⁵⁴thyiː , phu ⁵⁵thy / ⁴⁴thyi (comp Man (MM) ⁴⁴thi)
91	1	R	up		up	up	up	up	u	u	u,uː	uː	uː	uː	up	up	étui' TGTM *Asjup (Tam,Gha,Tuk) > nar ⁴³ʃjuː , phu ³³sjuː ;'fil à coudre' TGTM *Bʈ.Hr.ʈʰup > nar ⁵⁵hru , phu ³³²hruː , Tangbe ⁴⁴hrup
92	1	R	jup		jup	jup	jup	ip,jup	ju	ju	ju	?	juː	juː			étui' TGTM *Asjup (Tam,Gha,Tuk) > nar ⁴³ʃjuː , phu ³³sjuː , (comp Tangbe ⁵⁵ʃjuk)
93	1	R	uŋ		uŋ	uŋ	uŋ,ũ	uŋ	uŋ,um	uŋ,um	ũ	ũ,uŋ	uŋ	uŋ,ũ 		uŋ	acide' TGTM *Akjuŋ > nar⁵⁴kjuŋ phu ²²kjuŋ  ;'trou' TGTM *Bkhuŋ > nar ⁵⁵⁴khuŋ phu ⁴³khũ  ;'pierre' TGTM *Bʰjuŋ > nar ⁵⁴'⁴jũŋ phu ⁴³jũ  ;'bouche' TGTM *Asuŋ / ? Asuŋ-ba > nar ⁴³sũm , phu ⁴³sum
94	1	R	un	/s_	un	un,um	un	un	un	?	i	ĩ	un				riz' TGTM *Asun (TT) > nar ⁴³sun
95	1	R	won	/ʰŋ_	un	on,om	on	on	?	?	wĩ	wẽ	um				montrer' TGTM *ʰŋwon- > nar ⁵⁵'³³ŋumbɛ
96	1	R	un		un	un,una	un	un	un	?	wĩ	?				un	
97	1	R	um		um	um	um	um	um	um	ũ	ũ=uŋ	um		uŋ	uŋ	oeuf' TGTM *Bphum > nar ⁴³phum
98	1	R	ur		ur	ur	ur	ur	ur	ur	ur	ur		ur		ur	
99	1	R	ul		ul	ul	?	?	o	il,?	u,ul	uː					
100	1	I	k		k	k	k	k	k	k	k	k	k	k		k	os long' TGTM *Akaŋ > nar ⁵⁴kaŋ , phu ⁴³kaŋ 
101	1	I	k	/_w	k	Ø	h	k	k	k	k	k	k	k		k	vêtement' TGTM *Akwan > nar ⁵⁴kon , Phu ⁵⁴kon 
102	1	I	kʰ		kʰ	kʰ	h	kʰ	kʰ	kʰ	kʰ	kʰ	kʰ	kʰ		kʰ	légume/soupe'TGTM *Bkhu > nar ⁵⁴khu , phu ⁵³khŭ ;'trou' TGTM *Bkhuŋ > phu ⁴³khũ 
103	1	I	kʰ	/_w	kʰ	h	h	kʰ	kʰ	kʰ	kʰ,k	kʰ					
104	1	I	g	/ᴬ_	k	k	k,g	k	k,g	k,g	k	k	k,g	˰g		k,kʰ,g	couvercle' TGTM *Agap > nar ²³²gou / ³⁴³kou , phu ¹¹˰gɑː (comp Tangbe ³³'⁴⁴khapgəp)
105	1	I	g	/ᴮ_	k	k	k,g	k	k	g	k,g	kʰ	g	g		k,kʰ,g	pincettes' TGTM *Bgap > nar ¹¹²gouʱ , phu ¹¹'¹²²gɑu (comp Tangbe ³³'³³kɔmbə)
106	1	I	g	/_w	k,Ø	Ø	Ø	k	k	?	k	k,kʰ	g	g		kj,k	chant' TGTM *Bgwai > nar ¹²gweʱ , phu ¹¹gøi
107	1	O	gj	/ᴬ_	kj	kj	kj	kj	kj	gj	kj	kj				kj	
108	1	O	gj	/ᴮ_	kj	kj	kj	kj	kj	gj	k,kj	kʰj	gj	gj	kj	kj,kɟ	mouton' TGTM *Bgjuː > phu ¹¹gjuː , Tangbe ²²kju ;'travail' TGTM *ᴮgjat > nar ¹¹²gje , phu ¹¹¹gjẽː , Tangbe ³³³kjeʔ
109	1	O	kr	/_eː	k	k	k	ʈ	k	k	kr	kr	kr	kr	kr	kr,k	‘la taille’ TGTM *Akreː > nar ⁴³kre / ⁵⁴ kre , phu ⁵⁵kreː , Tangbe ⁴⁴⁵kreʔ ∼ ⁵⁵ke(ʔ)
110	1	O	kr	/_u	kr	kr	h	ʈ	k	k	kr	kr	kr	kr	k	k	coudée' nar ⁵⁴kru , phu ⁵⁵'⁵⁵kuru / ³³kru ⁴²naŋ , Tangbe ⁴³ku
111	1	O	kr	/_a	kr	kr	hw	ʈ	kj	kj	kr	kr	kr	kr	kr	kr,k	tête/cheveu' TGTM *Akra > nar ⁴³kræ / ⁵⁴kræ, Phu ⁴⁴krɛ , Tangbe ⁴³krə (?1978) ∼ ⁴⁴kʌ (1996)
112	1	O	kr	/_at	kr	kr	h	ʈ	kj,k	kj	kr	kr				k,kj	
113	1	O	kr		kr	kr	h	ʈ	k	k	kr	kr				k	
114	1	O	kʰr		kʰr	kʰr,hr	hw,h	ʈʰ	kʰj	kʰj	kʰr	hr,tʃʰj,kr	khr			kʰ=kh	filer' TGTM *Akhrim (TG) *Bkhrim (Tuk) > nar ⁵⁵'³³khrimbɛ; 'griller' Tgb khaŋ
214	1	O	kʰr	/_u	kʰr	kʰr,hr	hw,h	ʈʰ	kʰ	kʰ	kʰr	hr,tʃʰj,kr	khr		kʰ=kh,k,h	kʰ=kh,k	laver' TGTM *Bkhru > nar ⁵⁵'³³khrubɛ, 'mordre' TGTM khrap > Tgb hap
115	1	O	gr	/ᴬ_	kr	kr	w,h	?	k	g,gj	kr	kr	gr	gr		ɖ	filth' TGTM *Agri > nar ²¹grɪ , phu ¹¹grɪ, Tgb ɖiʱma
116	1	O	gr	/ᴮ_e	kr	?	h	?	?	?	?	?					
117	1	O	gr	/ᴮ_i	k	k	k	ʈ	k	g	gr	hr,kʰr	gr	gr=kr	g	k,g,ɖ	un' TGTM *ᴮgrik > nar ¹¹gri / ¹²griː Phu ²²grįː, ²²kri , Tangbe ¹¹¹giʱʔ/kiʱ
118	1	O	gr	/ᴮ_	kr	kr	kr	ʈ	k	g	kr	hr=rʰ	gr	kr,gr			ennemi' TGTM *Bgra > nar ¹³græ, phu ¹¹krɛː (comp Tangbe ²⁰ɖə)
